files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.10  T=0.03 s (2460.0 files/s 162994.1 lines/s)"
51,PHP,671,782,2565
1,Blade,11,3,209
3,JSON,0,0,116
2,Markdown,28,0,47
2,YAML,18,0,45
1,XML,0,0,36
2,JavaScript,1,1,23
2,Dockerfile,7,0,18
1,Go,4,0,15
1,INI,4,0,14
1,CSS,2,0,7
1,TOML,1,0,5
1,Rust,0,0,3
1,Text,0,0,2
70,SUM,747,786,3105
